Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean
01/01/2016,7.3,8.2,7.8,8.7,7.7,8.3,8.8,7.9,8,,8.077777778
01/02/2016,8.4,8,7.8,8,8,8,8.2,8.3,8.1,,8.088888889
01/03/2016,8,8.3,8.1,8,7.8,8.1,8.2,8.1,7.8,,8.044444444
01/04/2016,8.7,8.5,8.7,8.9,8.5,8.3,8.3,8.6,8.7,,8.577777778
01/05/2016,8.3,8.7,8.3,8.2,8.3,8.2,8.3,8.1,9.4,,8.422222222
01/06/2016,9.4,9.3,9.6,9,9.4,8.9,9,9.3,9.4,,9.255555556
01/07/2016,8.8,9.5,9.8,8.9,9,8.1,8.7,8.8,9.6,,9.022222222
01/08/2016,8.1,8.9,8.6,8.5,9.1,8.9,8.8,8.9,8.9,,8.744444444
01/09/2016,7.8,9,9.6,8,9,8.7,9,9.4,9.4,,8.877777778
01/10/2016,7.9,9.2,8.9,7.8,8.7,7.6,7.7,8.8,9,,8.4
01/11/2016,7.9,8.55,8.65,8.1,8.5,8.3,8.1,8.8,8.7,,8.4
01/12/2016,7.9,7.9,8.4,8.4,8.3,9,8.5,8.8,8.4,,8.4
01/01/2017,8.4,8,8.3,8.1,8,8.6,8.4,8.7,7.8,,8.255555556
01/02/2017,8,7.9,7.9,8.4,7.9,8.4,7.9,8.1,7.9,,8.044444444
01/03/2017,7.9,8.4,8,7.9,8.2,8.1,8.5,8.3,8.3,,8.177777778
01/04/2017,7.7,7.8,7.8,7.9,7.8,7.8,7.8,7.9,7.8,,7.811111111
01/05/2017,8.3,6.3,8.7,7.6,8,8.3,8,8.2,8.3,,7.966666667
01/06/2017,8.6,8.2,8.3,8.1,8.4,8.3,8.4,8.5,9,,8.422222222
01/07/2017,8.2,7.9,8.6,7.7,8.1,7.9,8.3,8.1,8.5,,8.144444444
01/08/2017,8.6,8.6,9.1,8.8,9,8.7,8.5,9.2,8.6,,8.788888889
01/09/2017,8.2,8.7,9.3,7.9,8.7,8.8,8.9,8.3,8.4,,8.577777778
01/10/2017,8.2,8..3,8,8.4,9.2,7.7,9.3,8.2,8,,8.375
01/11/2017,7.8,7.9,7.7,7.6,8.1,7.7,8.2,7.9,8.1,,7.888888889
01/12/2017,7.8,7.9,7.7,7.6,8.1,7.7,8.2,7.9,8.1,,7.888888889
01/01/2018,7.9,7.7,7.9,8,7.7,8.3,8.3,8.2,8.1,,8.011111111
01/02/2018,8.2,8,8.1,8.3,8,8.7,8.7,8.7,8.1,,8.311111111
01/03/2018,8.4,8.3,8.2,8,8.2,8.3,8.2,8,8.2,,8.2
01/04/2018,7.9,8.1,8.2,8.4,8.1,8.6,8.5,8.3,8.4,,8.277777778
01/05/2018,8.5,8.1,8.1,8.7,8.3,8.4,8.5,8.3,8.3,,8.355555556
01/06/2018,8.5,9.6,8.8,8.8,8.9,9.7,8.7,8.9,9.7,,9.066666667
01/07/2018,9.7,9.1,9.4,9,8.8,8.5,8.8,8.9,9.5,,9.077777778
01/08/2018,7.9,8.7,9.1,8.6,8.5,8.5,8.6,8.9,9.2,,8.666666667
01/09/2018,9,8.7,8.7,8.5,8.9,9,9,8.8,8.8,,8.822222222
01/10/2018,8.7,8.5,8.6,8.4,8.5,8.7,8.8,8.7,8.6,,8.611111111
01/11/2018,84,8.4,8.7,8.9,7.9,8.5,8.3,8.1,8.3,,16.78888889
01/12/2018,8.6,8.5,8.4,8.9,8.2,8.7,8.8,8.8,8.8,,8.633333333
01/01/2019,8.3,7.5,7.8,8.5,7.6,8.2,7.8,8.1,7.6,,7.933333333
01/02/2019,8.8,8.3,8.4,8,8.5,8.8,9,9.2,8.2,,8.577777778
01/03/2019,8.2,8.2,8.3,8.1,8.2,8.6,8.3,8.9,8.6,,8.377777778
01/04/2019,8.9,8.4,8.2,8.4,8.4,8.9,8.5,8.1,8.5,,8.477777778
01/05/2019,9,8.7,8.4,8.7,8.3,8.5,9,8.6,9.2,,8.711111111
01/06/2019,9.4,9.1,9.2,9.3,9.3,9.4,9.4,9.3,9.2,,9.288888889
01/07/2019,8.2,9.1,8.3,7.9,7.1,8.6,8.7,8.9,9.6,,8.488888889
01/08/2019,7.8,8.3,8.3,8.3,8.6,8.4,8.5,8.5,8.1,,8.311111111
01/09/2019,8,8.5,8.1,8.8,8.7,8.4,9.1,8.9,8.6,,8.566666667
01/10/2019,8.5,8.8,8.5,8.7,8.7,8.5,8.6,9.1,8.6,,8.666666667
01/11/2019,8.5,8.9,8.8,9.5,8.7,8.2,9.2,8.7,8.9,,8.822222222
01/12/2019,7.8,7.8,8.2,8,8,9,7.8,8.2,7.8,,8.066666667
01/01/2020,8,8.2,7.9,8.2,8.2,8.1,8.3,8.3,7.7,,8.1
01/02/2020,8,8.2,8.2,8.3,8.2,8.2,8.6,8.4,7.9,,8.222222222
01/03/2020,8.7,8.7,8.6,8.8,8.7,8.8,8.7,8.8,8.6,,8.711111111
01/04/2020,8.716666667,8.7,8.55,8.85,8.716666667,8.7,8.75,8.8,8.533333333,,8.701851852
01/05/2020,8.733333333,8.7,8.5,8.9,8.733333333,8.6,8.8,8.8,8.466666667,,8.692592593
01/06/2020,8.75,8.7,8.45,8.95,8.75,8.5,8.85,8.8,8.4,,8.683333333
01/07/2020,8.766666667,8.7,8.4,9,8.766666667,8.4,8.9,8.8,8.333333333,,8.674074074
01/08/2020,8.783333333,8.7,8.35,9.05,8.783333333,8.3,8.95,8.8,8.266666667,,8.664814815
01/09/2020,8.8,8.7,8.3,9.1,8.8,8.2,9,8.8,8.2,,8.655555556
01/10/2020,8.8,8.5,8.8,8.4,8.7,8.7,8.8,8.3,8.2,,8.577777778
01/11/2020,7.9,7.9,8.4,8.4,8,8,7.9,8,7.7,,8.022222222
01/12/2020,8,8,8.2,8.2,8.5,8,8.1,8.4,8.1,,8.166666667
01/01/2021,8.3,8.2,8.2,8.1,8.2,8.3,8.4,8.3,8,,8.222222222
01/02/2021,8.1,8,7.9,7.7,8,8.2,8.4,8,8.2,,8.055555556
01/03/2021,8.7,8.4,8.3,8.7,8.4,8.1,8.5,8.4,8.6,,8.455555556
01/04/2021,8.55,8.4,8.35,8.55,8.3,8.3,8.35,8.4,8.3,,8.388888889
01/05/2021,8.4,8.4,8.4,8.4,8.2,8.5,8.2,8.4,8,,8.322222222
01/06/2021,8.7,8.2,9,9.7,8.9,9.1,8.9,9,8.9,,8.933333333
01/07/2021,8.9,8.9,8.5,9.1,8.8,9.1,8.8,8.9,9.6,,8.955555556
01/08/2021,8.2,8.2,8.3,8.4,8.7,8.7,8.3,9.25,7.4,,8.383333333
01/09/2021,9.2,8.8,9.2,9,8.9,8.9,9,9.6,9.2,,9.088888889
01/10/2021,8.1,7.7,7.8,8.3,7.7,7.6,7.6,8,7.7,,7.833333333
01/11/2021,8.1,7.9,7.9,8.2,8.1,8.3,8.2,8,8,,8.077777778
01/12/2021,8.3,8.4,8.2,8.1,8.3,8.2,8.2,8.1,8.2,,8.222222222
01/01/2022,8.3,8.4,8.2,8.3,8.35,8.25,8.25,8.2,8.2,,8.272222222
01/02/2022,8.3,8.4,8.2,8.5,8.4,8.3,8.3,8.3,8.2,,8.322222222
01/03/2022,7.9,8.2,8,8.3,8.2,8,8.1,8.2,8.1,,8.111111111
01/04/2022,8.2,8.1,8.3,8.7,8.1,8.3,8.3,8.4,8.2,,8.288888889
01/05/2022,8.2,8.2,8.4,8.3,8.2,8.1,8.1,8.5,8.5,,8.277777778
01/06/2022,9,9,9.1,9,8.8,8.9,8.9,9.1,9.2,,9
01/07/2022,9.4,9.3,9.4,9.3,9.2,8.9,8.3,9.4,9.2,,9.155555556
01/08/2022,7.9,8,8.9,8.5,8.8,8.2,8.5,8.7,8.9,,8.488888889
01/09/2022,7.9,8,7.8,8.6,6.8,7.9,8,8.7,8.3,,8
01/10/2022,7.5,7.6,7.7,7.7,8.1,7.9,7.7,7.8,7.4,,7.711111111
01/11/2022,7.5,7.3,7.75,8,7.7,7.4,7.6,8,7,,7.583333333
01/12/2022,7.1,7.6,7.8,7.3,7.1,7.8,7.6,7.8,7.4,,7.5
